 ID,Date,Parameter/Paramètre,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation
05BH004,2022-04-01 2:30,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:35,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:40,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:45,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:50,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 2:55,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 3:00,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 3:05,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 3:10,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 3:15,47,39.3,-1,,Final/Finales
05BH004,2022-04-01 3:20,47,39.4,-1,,Final/Finales
05BH004,2022-04-01 3:25,47,39.5,-1,,Final/Finales
05BH004,2022-04-01 3:30,47,39.6,-1,,Final/Finales
05BH004,2022-04-01 3:35,47,39.9,-1,,Final/Finales
05BH004,2022-04-01 3:40,47,40.1,-1,,Final/Finales
05BH004,2022-04-01 3:45,47,40.3,-1,,Final/Finales
05BH004,2022-04-01 3:50,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 3:55,47,40.7,-1,,Final/Finales
05BH004,2022-04-01 4:00,47,41,-1,,Final/Finales
05BH004,2022-04-01 4:05,47,41.2,-1,,Final/Finales
05BH004,2022-04-01 4:10,47,41.4,-1,,Final/Finales
05BH004,2022-04-01 4:15,47,41.5,-1,,Final/Finales
05BH004,2022-04-01 4:20,47,41.7,-1,,Final/Finales
05BH004,2022-04-01 4:25,47,42,-1,,Final/Finales
05BH004,2022-04-01 4:30,47,42.1,-1,,Final/Finales
05BH004,2022-04-01 4:35,47,42.3,-1,,Final/Finales
05BH004,2022-04-01 4:40,47,42.3,-1,,Final/Finales
05BH004,2022-04-01 4:45,47,42.4,-1,,Final/Finales
05BH004,2022-04-01 4:50,47,42.5,-1,,Final/Finales
05BH004,2022-04-01 4:55,47,42.6,-1,,Final/Finales
05BH004,2022-04-01 5:00,47,42.6,-1,,Final/Finales
05BH004,2022-04-01 5:05,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 5:10,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 5:15,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 5:20,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 5:25,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 5:30,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 5:35,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 5:40,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 5:45,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 5:50,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 5:55,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 6:00,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:05,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:10,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:15,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:20,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:25,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:30,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:35,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:40,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:45,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:50,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 6:55,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:00,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:05,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:10,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 7:15,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:20,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:25,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:30,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:35,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:40,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:45,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 7:50,47,42.6,-1,,Final/Finales
05BH004,2022-04-01 7:55,47,42.5,-1,,Final/Finales
05BH004,2022-04-01 8:00,47,42.3,-1,,Final/Finales
05BH004,2022-04-01 8:05,47,42.2,-1,,Final/Finales
05BH004,2022-04-01 8:10,47,42.1,-1,,Final/Finales
05BH004,2022-04-01 8:15,47,41.8,-1,,Final/Finales
05BH004,2022-04-01 8:20,47,41.7,-1,,Final/Finales
05BH004,2022-04-01 8:25,47,41.5,-1,,Final/Finales
05BH004,2022-04-01 8:30,47,41.4,-1,,Final/Finales
05BH004,2022-04-01 8:35,47,41.3,-1,,Final/Finales
05BH004,2022-04-01 8:40,47,41.2,-1,,Final/Finales
05BH004,2022-04-01 8:45,47,41.1,-1,,Final/Finales
05BH004,2022-04-01 8:50,47,41,-1,,Final/Finales
05BH004,2022-04-01 8:55,47,40.8,-1,,Final/Finales
05BH004,2022-04-01 9:00,47,40.7,-1,,Final/Finales
05BH004,2022-04-01 9:05,47,40.7,-1,,Final/Finales
05BH004,2022-04-01 9:10,47,40.6,-1,,Final/Finales
05BH004,2022-04-01 9:15,47,40.6,-1,,Final/Finales
05BH004,2022-04-01 9:20,47,40.6,-1,,Final/Finales
05BH004,2022-04-01 9:25,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 9:30,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 9:35,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 9:40,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 9:45,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 9:50,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 9:55,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:00,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:05,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:10,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:15,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:20,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:25,47,40.4,-1,,Final/Finales
05BH004,2022-04-01 10:30,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 10:35,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 10:40,47,40.5,-1,,Final/Finales
05BH004,2022-04-01 10:45,47,40.6,-1,,Final/Finales
05BH004,2022-04-01 10:50,47,40.6,-1,,Final/Finales
05BH004,2022-04-01 10:55,47,40.7,-1,,Final/Finales
05BH004,2022-04-01 11:00,47,40.8,-1,,Final/Finales
05BH004,2022-04-01 11:05,47,41.1,-1,,Final/Finales
05BH004,2022-04-01 11:10,47,41.2,-1,,Final/Finales
05BH004,2022-04-01 11:15,47,41.2,-1,,Final/Finales
05BH004,2022-04-01 11:20,47,41.3,-1,,Final/Finales
05BH004,2022-04-01 11:25,47,41.5,-1,,Final/Finales
05BH004,2022-04-01 11:30,47,41.6,-1,,Final/Finales
05BH004,2022-04-01 11:35,47,41.8,-1,,Final/Finales
05BH004,2022-04-01 11:40,47,41.8,-1,,Final/Finales
05BH004,2022-04-01 11:45,47,42,-1,,Final/Finales
05BH004,2022-04-01 11:50,47,42,-1,,Final/Finales
05BH004,2022-04-01 11:55,47,42.2,-1,,Final/Finales
05BH004,2022-04-01 12:00,47,42.2,-1,,Final/Finales
05BH004,2022-04-01 12:05,47,42.3,-1,,Final/Finales
05BH004,2022-04-01 12:10,47,42.3,-1,,Final/Finales
05BH004,2022-04-01 12:15,47,42.3,-1,,Final/Finales
05BH004,2022-04-01 12:20,47,42.4,-1,,Final/Finales
05BH004,2022-04-01 12:25,47,42.4,-1,,Final/Finales
05BH004,2022-04-01 12:30,47,42.4,-1,,Final/Finales
05BH004,2022-04-01 12:35,47,42.5,-1,,Final/Finales
05BH004,2022-04-01 12:40,47,42.5,-1,,Final/Finales
05BH004,2022-04-01 12:45,47,42.6,-1,,Final/Finales
05BH004,2022-04-01 12:50,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 12:55,47,42.7,-1,,Final/Finales
05BH004,2022-04-01 13:00,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 13:05,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 13:10,47,42.9,-1,,Final/Finales
05BH004,2022-04-01 13:15,47,43,-1,,Final/Finales
05BH004,2022-04-01 13:20,47,43,-1,,Final/Finales
05BH004,2022-04-01 13:25,47,43.1,-1,,Final/Finales
05BH004,2022-04-01 13:30,47,43.2,-1,,Final/Finales
05BH004,2022-04-01 13:35,47,43.2,-1,,Final/Finales
05BH004,2022-04-01 13:40,47,43.3,-1,,Final/Finales
05BH004,2022-04-01 13:45,47,43.4,-1,,Final/Finales
05BH004,2022-04-01 13:50,47,43.4,-1,,Final/Finales
05BH004,2022-04-01 13:55,47,43.4,-1,,Final/Finales
05BH004,2022-04-01 14:00,47,43.5,-1,,Final/Finales
05BH004,2022-04-01 14:05,47,43.5,-1,,Final/Finales
05BH004,2022-04-01 14:10,47,43.5,-1,,Final/Finales
05BH004,2022-04-01 14:15,47,43.5,-1,,Final/Finales
05BH004,2022-04-01 14:20,47,43.5,-1,,Final/Finales
05BH004,2022-04-01 14:25,47,43.5,-1,,Final/Finales
05BH004,2022-04-01 14:30,47,43.6,-1,,Final/Finales
05BH004,2022-04-01 14:35,47,43.6,-1,,Final/Finales
05BH004,2022-04-01 14:40,47,43.6,-1,,Final/Finales
05BH004,2022-04-01 14:45,47,43.6,-1,,Final/Finales
05BH004,2022-04-01 14:50,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 14:55,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 15:00,47,43.6,-1,,Final/Finales
05BH004,2022-04-01 15:05,47,43.6,-1,,Final/Finales
05BH004,2022-04-01 15:10,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 15:15,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 15:20,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 15:25,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 15:30,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 15:35,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 15:40,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 15:45,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 15:50,47,44,-1,,Final/Finales
05BH004,2022-04-01 15:55,47,44,-1,,Final/Finales
05BH004,2022-04-01 16:00,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:05,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:10,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:15,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:20,47,44.2,-1,,Final/Finales
05BH004,2022-04-01 16:25,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:30,47,44.2,-1,,Final/Finales
05BH004,2022-04-01 16:35,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:40,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:45,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:50,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 16:55,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 17:00,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 17:05,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 17:10,47,44,-1,,Final/Finales
05BH004,2022-04-01 17:15,47,44,-1,,Final/Finales
05BH004,2022-04-01 17:20,47,44,-1,,Final/Finales
05BH004,2022-04-01 17:25,47,44,-1,,Final/Finales
05BH004,2022-04-01 17:30,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 17:35,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 17:40,47,44,-1,,Final/Finales
05BH004,2022-04-01 17:45,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 17:50,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 17:55,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:00,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:05,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:10,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 18:15,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 18:20,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 18:25,47,43.8,-1,,Final/Finales
05BH004,2022-04-01 18:30,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:35,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:40,47,44,-1,,Final/Finales
05BH004,2022-04-01 18:45,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:50,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 18:55,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 19:00,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 19:05,47,43.9,-1,,Final/Finales
05BH004,2022-04-01 19:10,47,44,-1,,Final/Finales
05BH004,2022-04-01 19:15,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 19:20,47,44.1,-1,,Final/Finales
05BH004,2022-04-01 19:25,47,44.3,-1,,Final/Finales
05BH004,2022-04-01 19:30,47,44.4,-1,,Final/Finales
05BH004,2022-04-01 19:35,47,44.6,-1,,Final/Finales
05BH004,2022-04-01 19:40,47,44.7,-1,,Final/Finales
05BH004,2022-04-01 19:45,47,44.9,-1,,Final/Finales
05BH004,2022-04-01 19:50,47,45.1,-1,,Final/Finales
05BH004,2022-04-01 19:55,47,45.5,-1,,Final/Finales
05BH004,2022-04-01 20:00,47,45.6,-1,,Final/Finales
05BH004,2022-04-01 20:05,47,45.7,-1,,Final/Finales
05BH004,2022-04-01 20:10,47,45.9,-1,,Final/Finales
05BH004,2022-04-01 20:15,47,46.2,-1,,Final/Finales
05BH004,2022-04-01 20:20,47,46.3,-1,,Final/Finales
05BH004,2022-04-01 20:25,47,46.4,-1,,Final/Finales
05BH004,2022-04-01 20:30,47,46.5,-1,,Final/Finales
05BH004,2022-04-01 20:35,47,46.8,-1,,Final/Finales
05BH004,2022-04-01 20:40,47,46.9,-1,,Final/Finales
05BH004,2022-04-01 20:45,47,47,-1,,Final/Finales
05BH004,2022-04-01 20:50,47,47,-1,,Final/Finales
05BH004,2022-04-01 20:55,47,47,-1,,Final/Finales
05BH004,2022-04-01 21:00,47,47,-1,,Final/Finales
05BH004,2022-04-01 21:05,47,47,-1,,Final/Finales
05BH004,2022-04-01 21:10,47,47,-1,,Final/Finales
05BH004,2022-04-01 21:15,47,47.1,-1,,Final/Finales
05BH004,2022-04-01 21:20,47,47,-1,,Final/Finales
05BH004,2022-04-01 21:25,47,47.1,-1,,Final/Finales
05BH004,2022-04-01 21:30,47,47.2,-1,,Final/Finales
05BH004,2022-04-01 21:35,47,47.2,-1,,Final/Finales
05BH004,2022-04-01 21:40,47,47.2,-1,,Final/Finales
05BH004,2022-04-01 21:45,47,47.4,-1,,Final/Finales
05BH004,2022-04-01 21:50,47,47.4,-1,,Final/Finales
05BH004,2022-04-01 21:55,47,47.5,-1,,Final/Finales
05BH004,2022-04-01 22:00,47,47.5,-1,,Final/Finales
05BH004,2022-04-01 22:05,47,47.6,-1,,Final/Finales
05BH004,2022-04-01 22:10,47,48,-1,,Final/Finales
05BH004,2022-04-01 22:15,47,48.1,-1,,Final/Finales
05BH004,2022-04-01 22:20,47,48.1,-1,,Final/Finales
05BH004,2022-04-01 22:25,47,48.3,-1,,Final/Finales
05BH004,2022-04-01 22:30,47,48.4,-1,,Final/Finales
05BH004,2022-04-01 22:35,47,48.7,-1,,Final/Finales
05BH004,2022-04-01 22:40,47,48.8,-1,,Final/Finales
05BH004,2022-04-01 22:45,47,49,-1,,Final/Finales
05BH004,2022-04-01 22:50,47,49.2,-1,,Final/Finales
05BH004,2022-04-01 22:55,47,49.2,-1,,Final/Finales
05BH004,2022-04-01 23:00,47,49.2,-1,,Final/Finales
05BH004,2022-04-01 23:05,47,49.3,-1,,Final/Finales
05BH004,2022-04-01 23:10,47,49.4,-1,,Final/Finales
05BH004,2022-04-01 23:15,47,49.4,-1,,Final/Finales
05BH004,2022-04-01 23:20,47,49.5,-1,,Final/Finales
05BH004,2022-04-01 23:25,47,49.4,-1,,Final/Finales
05BH004,2022-04-01 23:30,47,49.5,-1,,Final/Finales
05BH004,2022-04-01 23:35,47,49.5,-1,,Final/Finales
05BH004,2022-04-01 23:40,47,49.5,-1,,Final/Finales
05BH004,2022-04-01 23:45,47,49.5,-1,,Final/Finales
05BH004,2022-04-01 23:50,47,49.6,-1,,Final/Finales
05BH004,2022-04-01 23:55,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 0:00,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 0:05,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 0:10,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 0:15,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 0:20,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 0:25,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 0:30,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 0:35,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 0:40,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 0:45,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 0:50,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 0:55,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:00,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:05,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:10,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:15,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:20,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:25,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:30,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 1:35,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 1:40,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 1:45,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 1:50,47,49.9,-1,,Final/Finales
05BH004,2022-04-02 1:55,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 2:00,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 2:05,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:10,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:15,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:20,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 2:25,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:30,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:35,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:40,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:45,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 2:50,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 2:55,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 3:00,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 3:05,47,49.8,-1,,Final/Finales
05BH004,2022-04-02 3:10,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 3:15,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 3:20,47,49.6,-1,,Final/Finales
05BH004,2022-04-02 3:25,47,49.5,-1,,Final/Finales
05BH004,2022-04-02 3:30,47,49.5,-1,,Final/Finales
05BH004,2022-04-02 3:35,47,49.5,-1,,Final/Finales
05BH004,2022-04-02 3:40,47,49.5,-1,,Final/Finales
05BH004,2022-04-02 3:45,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 3:50,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 3:55,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 4:00,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 4:05,47,49.3,-1,,Final/Finales
05BH004,2022-04-02 4:10,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 4:15,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 4:20,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 4:25,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 4:30,47,49.3,-1,,Final/Finales
05BH004,2022-04-02 4:35,47,49.3,-1,,Final/Finales
05BH004,2022-04-02 4:40,47,49.2,-1,,Final/Finales
05BH004,2022-04-02 4:45,47,49,-1,,Final/Finales
05BH004,2022-04-02 4:50,47,48.9,-1,,Final/Finales
05BH004,2022-04-02 4:55,47,48.8,-1,,Final/Finales
05BH004,2022-04-02 5:00,47,48.6,-1,,Final/Finales
05BH004,2022-04-02 5:05,47,48.3,-1,,Final/Finales
05BH004,2022-04-02 5:10,47,48.1,-1,,Final/Finales
05BH004,2022-04-02 5:15,47,48,-1,,Final/Finales
05BH004,2022-04-02 5:20,47,47.8,-1,,Final/Finales
05BH004,2022-04-02 5:25,47,47.7,-1,,Final/Finales
05BH004,2022-04-02 5:30,47,47.5,-1,,Final/Finales
05BH004,2022-04-02 5:35,47,47.4,-1,,Final/Finales
05BH004,2022-04-02 5:40,47,47.4,-1,,Final/Finales
05BH004,2022-04-02 5:45,47,47.2,-1,,Final/Finales
05BH004,2022-04-02 5:50,47,47.1,-1,,Final/Finales
05BH004,2022-04-02 5:55,47,47.1,-1,,Final/Finales
05BH004,2022-04-02 6:00,47,47,-1,,Final/Finales
05BH004,2022-04-02 6:05,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 6:10,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 6:15,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 6:20,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 6:25,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 6:30,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 6:35,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 6:40,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 6:45,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 6:50,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 6:55,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:00,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:05,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:10,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:15,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:20,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:25,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:30,47,46.8,-1,,Final/Finales
05BH004,2022-04-02 7:35,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 7:40,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 7:45,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 7:50,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 7:55,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 8:00,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 8:05,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 8:10,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 8:15,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:20,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:25,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:30,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:35,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:40,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:45,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:50,47,47,-1,,Final/Finales
05BH004,2022-04-02 8:55,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:00,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:05,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:10,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:15,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:20,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:25,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:30,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:35,47,47,-1,,Final/Finales
05BH004,2022-04-02 9:40,47,46.9,-1,,Final/Finales
05BH004,2022-04-02 9:45,47,47,-1,,Final/Finales
05BH004,2022-04-02 9:50,47,47,-1,,Final/Finales
05BH004,2022-04-02 9:55,47,47.1,-1,,Final/Finales
05BH004,2022-04-02 10:00,47,47.1,-1,,Final/Finales
05BH004,2022-04-02 10:05,47,47.2,-1,,Final/Finales
05BH004,2022-04-02 10:10,47,47.4,-1,,Final/Finales
05BH004,2022-04-02 10:15,47,47.6,-1,,Final/Finales
05BH004,2022-04-02 10:20,47,47.8,-1,,Final/Finales
05BH004,2022-04-02 10:25,47,48,-1,,Final/Finales
05BH004,2022-04-02 10:30,47,48.2,-1,,Final/Finales
05BH004,2022-04-02 10:35,47,48.3,-1,,Final/Finales
05BH004,2022-04-02 10:40,47,48.7,-1,,Final/Finales
05BH004,2022-04-02 10:45,47,48.8,-1,,Final/Finales
05BH004,2022-04-02 10:50,47,49,-1,,Final/Finales
05BH004,2022-04-02 10:55,47,49.2,-1,,Final/Finales
05BH004,2022-04-02 11:00,47,49.3,-1,,Final/Finales
05BH004,2022-04-02 11:05,47,49.4,-1,,Final/Finales
05BH004,2022-04-02 11:10,47,49.5,-1,,Final/Finales
